F1,precision,recall,AUC,accuracy,threshold,mse,mae,ray_exp_name,data_name,root_path,data_path,ckpt_path,result_save_path,result_dirname,plot_save_path,Dataset,node_num,lag,missing_rate,missvalue,num_workers,features,target,scale,preIDW,preMA,preMA_win,graph_ca_lag,graph_ca_meth,edge_topK,eigvalue_if_norm,embedding_len,train_format,dropout,LeakyReLU_slope,z_dim,spatial_method,plan,K,layers,residual_alpha,temporal_method,E_layers_channels,dilated_kernel_size,GRU_layers,GRU_hidden_num,map_block_dropout,G_layers_channels,if_D_GNN_Filter,D_focus_on_fre,D_layers_channels,moving_average_window,reco_loss_alpha,diff_loss_gama,disc_score_delta,optimizer,EGD_lr,scheduler,batch_size,random_seed,patience,max_epoch,how_precision,focus_on,trail_grace_period,trail_reduction_factor,grid_num_samples
0.923479398,0.870315582,0.98356088,0.971553462,0.941211938,2.8133125,0.035639722,0.11947491,V8.0_BIRDS_10,BIRDS_10sensor,/home/data/DiYi/DATA,BIRDS_1U_CubeSat/BIRDS_6535part_10sensor,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/log,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/table,V8.0_BIRDS_10,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/plot,<class 'data.MyDataset.BIRDS_Anomaly'>,10,800,0,nan,0,M,OT,TRUE,TRUE,TRUE,50,1000,Euc,5,TRUE,50,GRL,0,0.001,150,Stacked_Filter_GNN,eig,15,1,0,GRU,"[8, 1]",2,1,10,0,[10],TRUE,TRUE,[1],3,0.6,2,1,<class 'torch.optim.adam.Adam'>,0.0001,CosineAnnealingLR,32,42,20,300,FALSE,F1,1,3,-1
0.920472441,0.870007442,0.97715241,0.97240862,0.939101598,2.9865656,0.045845326,0.14335832,V8.0_BIRDS_10,BIRDS_10sensor,/home/data/DiYi/DATA,BIRDS_1U_CubeSat/BIRDS_6535part_10sensor,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/log,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/table,V8.0_BIRDS_10,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/plot,<class 'data.MyDataset.BIRDS_Anomaly'>,10,800,0,nan,0,M,OT,TRUE,TRUE,TRUE,50,1000,Euc,5,TRUE,50,GRL,0,0.001,500,Stacked_Filter_GNN,eig,5,1,0,GRU,"[10, 1]",2,1,10,0,"[8, 10]",TRUE,TRUE,[1],3,1.2,0.5,0.8,<class 'torch.optim.adam.Adam'>,0.001,ExponentialLR,32,42,20,300,FALSE,F1,1,3,-1
0.910258024,0.855048475,0.973089343,0.97634168,0.935921632,2.2355864,0.05430862,0.1519742,V8.0_BIRDS_10,BIRDS_10sensor,/home/data/DiYi/DATA,BIRDS_1U_CubeSat/BIRDS_6535part_10sensor,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/log,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/table,V8.0_BIRDS_10,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/plot,<class 'data.MyDataset.BIRDS_Anomaly'>,10,200,0.3,nan,0,M,OT,TRUE,TRUE,TRUE,50,1000,Euc,8,TRUE,50,GRL,0,0.001,300,Stacked_Filter_GNN,eig,8,1,0,GRU,"[8, 1]",2,1,10,0,"[8, 10]",TRUE,FALSE,[1],3,1.8,2,1.8,<class 'torch.optim.adam.Adam'>,0.001,ExponentialLR,32,42,20,300,FALSE,F1,1,3,-1
0.907404954,0.866430559,0.952447164,0.970073651,0.933674922,2.9508927,0.041407302,0.13178349,V8.0_BIRDS_10,BIRDS_10sensor,/home/data/DiYi/DATA,BIRDS_1U_CubeSat/BIRDS_6535part_10sensor,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/log,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/table,V8.0_BIRDS_10,/home/data/DiYi/MyWorks_Results/Adversarial_Stacked_XGNN/V8.0/plot,<class 'data.MyDataset.BIRDS_Anomaly'>,10,500,0,nan,0,M,OT,TRUE,TRUE,TRUE,50,1000,Euc,8,TRUE,50,GRL,0,0.001,50,Stacked_Filter_GNN,eig,8,1,0,GRU,"[10, 1]",2,1,10,0,[10],TRUE,FALSE,"[8, 1]",3,0.8,0.2,0.4,<class 'torch.optim.adam.Adam'>,0.0001,ExponentialLR,32,42,20,300,FALSE,F1,1,3,-1
